20:49:21 - 3278465710 - INFO - <cell line: 0>: 8 - Логирование настроено
20:52:36 - 3119335481 - INFO - <cell line: 0>: 2 - получили апи ключ
20:52:37 - 3119335481 - INFO - <cell line: 0>: 4 - получили список из 104 городов
20:56:46 - 3936313377 - INFO - <cell line: 0>: 2 - тестируем работу с апи 2гиса, статус обращения: 200
20:57:40 - 2519493484 - INFO - <cell line: 0>: 2 - тестируем получение списка регионов, статус обращения: 200
20:59:43 - 79906768 - INFO - <cell line: 0>: 4 - берем список всех регионов из 2гис, получилось 207 городов
21:02:08 - 4271990970 - INFO - <cell line: 0>: 8 - посмотрели частичные и полные совпадения по городам из нашего файла и из 2гиса, покрываем 78.84615384615384% наших городов
21:04:21 - 1567304747 - INFO - <cell line: 0>: 16 - смотрим, какие конкретно виды мест притяжения людей нас заинтересуют
21:04:28 - 2740190454 - INFO - <cell line: 0>: 16 - смотрим, какие конкретно виды мест притяжения людей нас заинтересуют
21:06:13 - 2899914464 - INFO - <cell line: 0>: 8 - выбрали конкретные виды мест (рубрики), это ['Рестораны', 'Музеи', 'Театры', 'Природные достопримечательности', 'Интересные здания']
21:06:56 - 671744129 - INFO - <cell line: 0>: 18 - посмотрели на примере Москвы, как будем обращаться ко всем городам
21:09:24 - 1495831924 - INFO - <cell line: 0>: 1 - попробовали сделать перебор всех интересных мест по всем городам, но возникла ошибка
21:10:29 - 1969180606 - INFO - <cell line: 0>: 1 - разобрались, в чем ошибка (в отступах), поменяли ключ и начинаем уже реально брать данные о всех интересных местах по всем городам
21:14:31 - 553415328 - INFO - <cell line: 0>: 1 - начинаем сбор, для начала возьмем первую страницу
21:27:10 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Каменск-Уральский / Театры: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:11 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Каменск-Уральский / Природные достопримечательности: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:15 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Кемерово / Природные достопримечательности: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:18 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Комсомольск-на-Амуре / Музеи: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:19 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Комсомольск-на-Амуре / Театры: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:19 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Комсомольск-на-Амуре / Природные достопримечательности: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:35 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Курск / Театры: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:35 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Курск / Природные достопримечательности: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:39 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Липецк / Театры: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:43 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Магадан / Музеи: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:43 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Магадан / Театры: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:44 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Магадан / Природные достопримечательности: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:48 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Магнитогорск / Театры: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:48 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Магнитогорск / Природные достопримечательности: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:27:53 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Махачкала / Природные достопримечательности: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:28:05 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Набережные Челны / Природные достопримечательности: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:28:09 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Нальчик / Театры: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:28:13 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Нижневартовск / Музеи: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:28:14 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Нижневартовск / Театры: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:28:14 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Нижневартовск / Природные достопримечательности: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:28:15 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Нижневартовск / Интересные здания: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
21:28:23 - 1567277299 - WARNING - <cell line: 0>: 20 - Ошибка: Нижний Тагил / Театры: {'meta': {'api_version': '3.0.20097', 'code': 404, 'error': {'message': 'Results not found', 'type': 'itemNotFound'}, 'issue_date': '20260408'}}
